MAKE,Fuel-type,,,Body-Style,,,,,,,Curb-weight,,num-of-cylinder,,,,,,Housepower,,City-MPG,Highway-Mpg,Price
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13496
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13497
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13498
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13499
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13500
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13501
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13502
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13503
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13504
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13505
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13506
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13507
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13508
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13509
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13510
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13511
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13512
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13513
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13514
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13515
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13516
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13517
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13518
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13519
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13520
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13521
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13522
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13523
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13524
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13525
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13526
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13527
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13528
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13529
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13530
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13531
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13532
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13533
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13534
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13535
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13536
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13537
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13538
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13539
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13540
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13541
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13542
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13543
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13544
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13545
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13546
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13547
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13548
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13549
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13550
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13551
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13552
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13553
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13554
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13555
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13556
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13557
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13558
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13559
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13560
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13561
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13562
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13563
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13564
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13565
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13566
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13567
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13568
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13569
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13570
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13571
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13572
mitsubishi,gas,,,hatchback,,,,,,,2004,,four,,,,,,68,,31,38,6669
mitsubishi,gas,,,hatchback,,,,,,,2145,,four,,,,,,102,,24,30,7689
mitsubishi,gas,,,hatchback,,,,,,,2370,,four,,,,,,116,,23,30,9959
mitsubishi,gas,,,hatchback,,,,,,,2328,,four,,,,,,88,,25,32,8499
mitsubishi,gas,,,hatchback,,,,,,,2833,,four,,,,,,145,,19,24,12629
mitsubishi,gas,,,hatchback,,,,,,,2921,,four,,,,,,145,,19,24,14869
mitsubishi,gas,,,hatchback,,,,,,,2926,,four,,,,,,145,,19,24,14489
mitsubishi,gas,,,sedan,,,,,,,2365,,four,,,,,,88,,25,32,6989
mitsubishi,gas,,,sedan,,,,,,,2405,,four,,,,,,88,,25,32,8189
mitsubishi,gas,,,sedan,,,,,,,2403,,four,,,,,,116,,23,30,9279
mitsubishi,gas,,,sedan,,,,,,,2403,,four,,,,,,116,,23,30,9279
nissan,gas,,,sedan,,,,,,,1889,,four,,,,,,69,,31,37,5499
nissan,diesel,,,sedan,,,,,,,2017,,four,,,,,,55,,45,50,7099
nissan,gas,,,sedan,,,,,,,1918,,four,,,,,,69,,31,37,6649
nissan,gas,,,sedan,,,,,,,1938,,four,,,,,,69,,31,37,6849
nissan,gas,,,wagon,,,,,,,2024,,four,,,,,,69,,31,37,7349
nissan,gas,,,sedan,,,,,,,1951,,four,,,,,,69,,31,37,7299
nissan,gas,,,hatchback,,,,,,,2028,,four,,,,,,69,,31,37,7799
nissan,gas,,,sedan,,,,,,,1971,,four,,,,,,69,,31,37,7499
nissan,gas,,,wagon,,,,,,,2037,,four,,,,,,69,,31,37,7999
nissan,gas,,,hardtop,,,,,,,2008,,four,,,,,,69,,31,37,8249
nissan,gas,,,hatchback,,,,,,,2324,,four,,,,,,97,,27,34,8949
nissan,gas,,,sedan,,,,,,,2302,,four,,,,,,97,,27,34,9549
nissan,gas,,,sedan,,,,,,,3095,,six,,,,,,152,,17,22,13499
nissan,gas,,,wagon,,,,,,,3296,,six,,,,,,152,,17,22,14399
nissan,gas,,,sedan,,,,,,,3060,,six,,,,,,152,,19,25,13499
nissan,gas,,,hatchback,,,,,,,3071,,six,,,,,,160,,19,25,17199
nissan,gas,,,hatchback,,,,,,,3139,,six,,,,,,200,,17,23,19699
nissan,gas,,,hatchback,,,,,,,3139,,six,,,,,,160,,19,25,18399
peugot,gas,,,sedan,,,,,,,3020,,four,,,,,,97,,19,24,11900
peugot,diesel,,,sedan,,,,,,,3197,,four,,,,,,95,,28,33,13200
peugot,gas,,,wagon,,,,,,,3230,,four,,,,,,97,,19,24,12440
peugot,diesel,,,wagon,,,,,,,3430,,four,,,,,,95,,25,25,13860
peugot,gas,,,sedan,,,,,,,3075,,four,,,,,,95,,19,24,15580
peugot,diesel,,,sedan,,,,,,,3252,,four,,,,,,95,,28,33,16900
peugot,gas,,,wagon,,,,,,,3285,,four,,,,,,95,,19,24,16695
peugot,diesel,,,wagon,,,,,,,3485,,four,,,,,,95,,25,25,17075
peugot,gas,,,sedan,,,,,,,3075,,four,,,,,,97,,19,24,16630
peugot,diesel,,,sedan,,,,,,,3252,,four,,,,,,95,,28,33,17950
peugot,gas,,,sedan,,,,,,,3130,,four,,,,,,142,,18,24,18150
plymouth,gas,,,hatchback,,,,,,,1918,,four,,,,,,68,,37,41,5572
plymouth,gas,,,hatchback,,,,,,,2128,,four,,,,,,102,,24,30,7957
plymouth,gas,,,hatchback,,,,,,,1967,,four,,,,,,68,,31,38,6229
plymouth,gas,,,sedan,,,,,,,1989,,four,,,,,,68,,31,38,6692
plymouth,gas,,,sedan,,,,,,,2191,,four,,,,,,68,,31,38,7609
plymouth,gas,,,wagon,,,,,,,2535,,four,,,,,,88,,24,30,8921
plymouth,gas,,,hatchback,,,,,,,2818,,four,,,,,,145,,19,24,12764
porsche,gas,,,hatchback,,,,,,,2778,,four,,,,,,143,,19,27,22018
porsche,gas,,,hardtop,,,,,,,2756,,six,,,,,,207,,17,25,32528
porsche,gas,,,hardtop,,,,,,,2756,,six,,,,,,207,,17,25,34028
porsche,gas,,,convertible,,,,,,,2800,,six,,,,,,207,,17,25,37028
porsche,gas,,,hatchback,,,,,,,3366,,eight,,,,,,288,,17,28,?
renault,gas,,,wagon,,,,,,,2579,,four,,,,,,?,,23,31,9295
renault,gas,,,hatchback,,,,,,,2460,,four,,,,,,?,,23,31,9895
saab,gas,,,hatchback,,,,,,,2658,,four,,,,,,110,,21,28,11850
saab,gas,,,sedan,,,,,,,2695,,four,,,,,,110,,21,28,12170
saab,gas,,,hatchback,,,,,,,2707,,four,,,,,,110,,21,28,15040
saab,gas,,,sedan,,,,,,,2758,,four,,,,,,110,,21,28,15510
saab,gas,,,hatchback,,,,,,,2808,,four,,,,,,160,,19,26,18150
saab,gas,,,sedan,,,,,,,2847,,four,,,,,,160,,19,26,18620
subaru,gas,,,hatchback,,,,,,,2050,,four,,,,,,69,,31,36,5118
subaru,gas,,,hatchback,,,,,,,2120,,four,,,,,,73,,26,31,7053
subaru,gas,,,hatchback,,,,,,,2240,,four,,,,,,73,,26,31,7603
subaru,gas,,,sedan,,,,,,,2145,,four,,,,,,82,,32,37,7126
subaru,gas,,,sedan,,,,,,,2190,,four,,,,,,82,,28,33,7775
subaru,gas,,,sedan,,,,,,,2340,,four,,,,,,94,,26,32,9960
subaru,gas,,,sedan,,,,,,,2385,,four,,,,,,82,,24,25,9233
subaru,gas,,,sedan,,,,,,,2510,,four,,,,,,111,,24,29,11259
subaru,gas,,,wagon,,,,,,,2290,,four,,,,,,82,,28,32,7463
subaru,gas,,,wagon,,,,,,,2455,,four,,,,,,94,,25,31,10198
subaru,gas,,,wagon,,,,,,,2420,,four,,,,,,82,,23,29,8013
subaru,gas,,,wagon,,,,,,,2650,,four,,,,,,111,,23,23,11694
toyota,gas,,,hatchback,,,,,,,1985,,four,,,,,,62,,35,39,5348
toyota,gas,,,hatchback,,,,,,,2040,,four,,,,,,62,,31,38,6338
toyota,gas,,,hatchback,,,,,,,2015,,four,,,,,,62,,31,38,6488
toyota,gas,,,wagon,,,,,,,2280,,four,,,,,,62,,31,37,6918
toyota,gas,,,wagon,,,,,,,2290,,four,,,,,,62,,27,32,7898
toyota,gas,,,wagon,,,,,,,3110,,four,,,,,,62,,27,32,8778
toyota,gas,,,sedan,,,,,,,2081,,four,,,,,,70,,30,37,6938
toyota,gas,,,hatchback,,,,,,,2109,,four,,,,,,70,,30,37,7198
toyota,diesel,,,sedan,,,,,,,2275,,four,,,,,,56,,34,36,7898
toyota,diesel,,,hatchback,,,,,,,2275,,four,,,,,,56,,38,47,7788
toyota,gas,,,sedan,,,,,,,2094,,four,,,,,,70,,38,47,7738
toyota,gas,,,hatchback,,,,,,,2122,,four,,,,,,70,,28,34,8358
toyota,gas,,,sedan,,,,,,,2140,,four,,,,,,70,,28,34,9258
toyota,gas,,,sedan,,,,,,,2169,,four,,,,,,70,,29,34,8058
toyota,gas,,,hatchback,,,,,,,2204,,four,,,,,,70,,29,34,8238
toyota,gas,,,sedan,,,,,,,2265,,four,,,,,,112,,26,29,9298
toyota,gas,,,hatchback,,,,,,,2300,,four,,,,,,112,,26,29,9538
toyota,gas,,,hardtop,,,,,,,2540,,four,,,,,,116,,24,30,8449
toyota,gas,,,hardtop,,,,,,,2536,,four,,,,,,116,,24,30,9639
toyota,gas,,,hatchback,,,,,,,2551,,four,,,,,,116,,24,30,9989
toyota,gas,,,hardtop,,,,,,,2679,,four,,,,,,116,,24,30,11199
toyota,gas,,,hatchback,,,,,,,2714,,four,,,,,,116,,24,30,11549
toyota,gas,,,convertible,,,,,,,2975,,four,,,,,,116,,24,30,17669
toyota,gas,,,sedan,,,,,,,2326,,four,,,,,,92,,29,34,8948
toyota,diesel,,,sedan,,,,,,,2480,,four,,,,,,73,,30,33,10698
toyota,gas,,,hatchback,,,,,,,2414,,four,,,,,,92,,27,32,9988
toyota,gas,,,sedan,,,,,,,2414,,four,,,,,,92,,27,32,10898
toyota,gas,,,hatchback,,,,,,,2458,,four,,,,,,92,,27,32,11248
toyota,gas,,,hatchback,,,,,,,2976,,six,,,,,,161,,20,24,16558
toyota,gas,,,hatchback,,,,,,,3016,,six,,,,,,161,,19,24,15998
toyota,gas,,,sedan,,,,,,,3131,,six,,,,,,156,,20,24,15690
toyota,gas,,,wagon,,,,,,,3151,,six,,,,,,156,,19,24,15750
volkswagen,diesel,,,sedan,,,,,,,2261,,four,,,,,,52,,37,46,7775
volkswagen,gas,,,sedan,,,,,,,2209,,four,,,,,,85,,27,34,7975
volkswagen,diesel,,,sedan,,,,,,,2264,,four,,,,,,52,,37,46,7995
volkswagen,gas,,,sedan,,,,,,,2212,,four,,,,,,85,,27,34,8195
volkswagen,gas,,,sedan,,,,,,,2275,,four,,,,,,85,,27,34,8495
volkswagen,diesel,,,sedan,,,,,,,2319,,four,,,,,,68,,37,42,9495
volkswagen,gas,,,sedan,,,,,,,2300,,four,,,,,,100,,26,32,9995
volkswagen,gas,,,convertible,,,,,,,2254,,four,,,,,,90,,24,29,11595
volkswagen,gas,,,hatchback,,,,,,,2221,,four,,,,,,90,,24,29,9980
volkswagen,gas,,,sedan,,,,,,,2661,,five,,,,,,110,,19,24,13295
volkswagen,diesel,,,sedan,,,,,,,2579,,four,,,,,,68,,33,38,13845
volkswagen,gas,,,wagon,,,,,,,2563,,four,,,,,,88,,25,31,12290
volvo,gas,,,sedan,,,,,,,2912,,four,,,,,,114,,23,28,12940
volvo,gas,,,wagon,,,,,,,3034,,four,,,,,,114,,23,28,13415
volvo,gas,,,sedan,,,,,,,2935,,four,,,,,,114,,24,28,15985
volvo,gas,,,wagon,,,,,,,3042,,four,,,,,,114,,24,28,16515
volvo,gas,,,sedan,,,,,,,3045,,four,,,,,,162,,17,22,18420
volvo,gas,,,wagon,,,,,,,3157,,four,,,,,,162,,17,22,18950
volvo,gas,,,sedan,,,,,,,2952,,four,,,,,,114,,23,28,16845
volvo,gas,,,sedan,,,,,,,3049,,four,,,,,,160,,19,25,19045
volvo,gas,,,sedan,,,,,,,3012,,six,,,,,,134,,18,23,21485
volvo,diesel,,,sedan,,,,,,,3217,,six,,,,,,106,,26,27,22470
volvo,gas,,,sedan,,,,,,,3062,,four,,,,,,114,,19,25,22625
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13495